Jurisdiction,statename,month,Year,m_name,Age,Sex,Suspected_drug_OD_n,Suspected_opioid_OD_n,Suspected_heroin_OD_n,Suspected_stimulant_OD_n,Total_ED
NV,NEVADA,7,2018,M72018,Missing,Missing,.,.,.,.,6
NY,NEW YORK,7,2018,M72018,Missing,Missing,.,.,.,.,1
OH,OHIO,7,2018,M72018,Missing,Missing,.,.,.,.,15
OR,OREGON,7,2018,M72018,Missing,Missing,.,.,.,.,2
PA,PENNSYLVANIA,7,2018,M72018,Missing,Missing,1,.,.,.,35
RI,RHODE ISLAND,7,2018,M72018,Missing,Missing,.,.,.,.,.
SD,SOUTH DAKOTA,7,2018,M72018,Missing,Missing,.,.,.,.,.
TN,TENNESSEE,7,2018,M72018,Missing,Missing,.,.,.,.,2
UT,UTAH,7,2018,M72018,Missing,Missing,.,.,.,.,22
VA,VIRGINIA,7,2018,M72018,Missing,Missing,.,.,.,.,.
VT,VERMONT,7,2018,M72018,Missing,Missing,.,.,.,.,2
WA,WASHINGTON,7,2018,M72018,Missing,Missing,.,.,.,.,2
WI,WISCONSIN,7,2018,M72018,Missing,Missing,1,.,.,.,5
AK,ALASKA,8,2018,M82018,Missing,Missing,.,.,.,.,.
AL,ALABAMA,8,2018,M82018,Missing,Missing,.,.,.,.,175
AR,ARKANSAS,8,2018,M82018,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,8,2018,M82018,Missing,Missing,.,.,.,.,12
CO,COLORADO,8,2018,M82018,Missing,Missing,.,.,.,.,1
CT,CONNECTICUT,8,2018,M82018,Missing,Missing,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,8,2018,M82018,Missing,Missing,.,.,.,.,.
FL,FLORIDA,8,2018,M82018,Missing,Missing,.,.,.,.,.
GA,GEORGIA,8,2018,M82018,Missing,Missing,.,.,.,.,10
IL,ILLINOIS,8,2018,M82018,Missing,Missing,.,.,.,.,44
IN,INDIANA,8,2018,M82018,Missing,Missing,.,.,.,.,.
KS,KANSAS,8,2018,M82018,Missing,Missing,.,.,.,.,2
KY,KENTUCKY,8,2018,M82018,Missing,Missing,.,.,.,.,.
LA,LOUISIANA,8,2018,M82018,Missing,Missing,.,.,.,.,2
MA,MASSACHUSETTS,8,2018,M82018,Missing,Missing,.,.,.,.,.
MD,MARYLAND,8,2018,M82018,Missing,Missing,2,.,.,.,48
ME,MAINE,8,2018,M82018,Missing,Missing,.,.,.,.,2
MI,MICHIGAN,8,2018,M82018,Missing,Missing,7,1,1,.,224
MO,MISSOURI,8,2018,M82018,Missing,Missing,.,.,.,.,14
MT,MONTANA,8,2018,M82018,Missing,Missing,.,.,.,.,.
NC,NORTH CAROLINA,8,2018,M82018,Missing,Missing,1,.,.,.,25
NH,NEW HAMPSHIRE,8,2018,M82018,Missing,Missing,.,.,.,.,.
NJ,NEW JERSEY,8,2018,M82018,Missing,Missing,.,.,.,.,4
NM,NEW MEXICO,8,2018,M82018,Missing,Missing,.,.,.,.,.
NV,NEVADA,8,2018,M82018,Missing,Missing,.,.,.,.,4
NY,NEW YORK,8,2018,M82018,Missing,Missing,.,.,.,.,1
OH,OHIO,8,2018,M82018,Missing,Missing,.,.,.,.,11
OR,OREGON,8,2018,M82018,Missing,Missing,.,.,.,.,7
PA,PENNSYLVANIA,8,2018,M82018,Missing,Missing,.,.,.,.,27
RI,RHODE ISLAND,8,2018,M82018,Missing,Missing,.,.,.,.,.
SD,SOUTH DAKOTA,8,2018,M82018,Missing,Missing,.,.,.,.,.
TN,TENNESSEE,8,2018,M82018,Missing,Missing,.,.,.,.,3
UT,UTAH,8,2018,M82018,Missing,Missing,.,.,.,.,.
VA,VIRGINIA,8,2018,M82018,Missing,Missing,.,.,.,.,.
VT,VERMONT,8,2018,M82018,Missing,Missing,1,.,.,.,1
WA,WASHINGTON,8,2018,M82018,Missing,Missing,.,.,.,.,5
WI,WISCONSIN,8,2018,M82018,Missing,Missing,.,.,.,.,2
AK,ALASKA,9,2018,M92018,Missing,Missing,.,.,.,.,1
AL,ALABAMA,9,2018,M92018,Missing,Missing,.,.,.,.,153
AR,ARKANSAS,9,2018,M92018,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,9,2018,M92018,Missing,Missing,.,.,.,.,11
CO,COLORADO,9,2018,M92018,Missing,Missing,.,.,.,.,.
CT,CONNECTICUT,9,2018,M92018,Missing,Missing,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,9,2018,M92018,Missing,Missing,.,.,.,.,.
FL,FLORIDA,9,2018,M92018,Missing,Missing,.,.,.,.,.
GA,GEORGIA,9,2018,M92018,Missing,Missing,.,.,.,.,7
IL,ILLINOIS,9,2018,M92018,Missing,Missing,.,.,.,.,38
IN,INDIANA,9,2018,M92018,Missing,Missing,.,.,.,.,.
KS,KANSAS,9,2018,M92018,Missing,Missing,.,.,.,.,1
KY,KENTUCKY,9,2018,M92018,Missing,Missing,.,.,.,.,.
LA,LOUISIANA,9,2018,M92018,Missing,Missing,.,.,.,.,2
MA,MASSACHUSETTS,9,2018,M92018,Missing,Missing,.,.,.,.,.
MD,MARYLAND,9,2018,M92018,Missing,Missing,2,.,.,.,58
ME,MAINE,9,2018,M92018,Missing,Missing,.,.,.,.,3
MI,MICHIGAN,9,2018,M92018,Missing,Missing,3,1,1,.,87
MO,MISSOURI,9,2018,M92018,Missing,Missing,.,.,.,.,16
MT,MONTANA,9,2018,M92018,Missing,Missing,.,.,.,.,.
NC,NORTH CAROLINA,9,2018,M92018,Missing,Missing,.,.,.,.,26
NH,NEW HAMPSHIRE,9,2018,M92018,Missing,Missing,.,.,.,.,1
NJ,NEW JERSEY,9,2018,M92018,Missing,Missing,.,.,.,.,7
NM,NEW MEXICO,9,2018,M92018,Missing,Missing,.,.,.,.,.
NV,NEVADA,9,2018,M92018,Missing,Missing,.,.,.,.,6
NY,NEW YORK,9,2018,M92018,Missing,Missing,.,.,.,.,.
OH,OHIO,9,2018,M92018,Missing,Missing,3,.,.,.,15
OR,OREGON,9,2018,M92018,Missing,Missing,.,.,.,.,5
PA,PENNSYLVANIA,9,2018,M92018,Missing,Missing,1,.,.,.,15
RI,RHODE ISLAND,9,2018,M92018,Missing,Missing,.,.,.,.,.
SD,SOUTH DAKOTA,9,2018,M92018,Missing,Missing,.,.,.,.,.
TN,TENNESSEE,9,2018,M92018,Missing,Missing,.,.,.,.,2
UT,UTAH,9,2018,M92018,Missing,Missing,.,.,.,.,.
VA,VIRGINIA,9,2018,M92018,Missing,Missing,.,.,.,.,.
VT,VERMONT,9,2018,M92018,Missing,Missing,1,.,.,.,3
WA,WASHINGTON,9,2018,M92018,Missing,Missing,1,1,.,.,8
WI,WISCONSIN,9,2018,M92018,Missing,Missing,1,1,1,.,2
AK,ALASKA,10,2018,M102018,Missing,Missing,.,.,.,.,.
AL,ALABAMA,10,2018,M102018,Missing,Missing,.,.,.,.,102
AR,ARKANSAS,10,2018,M102018,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,10,2018,M102018,Missing,Missing,.,.,.,.,4
CO,COLORADO,10,2018,M102018,Missing,Missing,.,.,.,.,.
CT,CONNECTICUT,10,2018,M102018,Missing,Missing,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,10,2018,M102018,Missing,Missing,.,.,.,.,.
DE,DELAWARE,10,2018,M102018,Missing,Missing,.,.,.,.,.
FL,FLORIDA,10,2018,M102018,Missing,Missing,.,.,.,.,.
GA,GEORGIA,10,2018,M102018,Missing,Missing,.,.,.,.,11
IL,ILLINOIS,10,2018,M102018,Missing,Missing,1,1,1,.,48
IN,INDIANA,10,2018,M102018,Missing,Missing,.,.,.,.,.
KS,KANSAS,10,2018,M102018,Missing,Missing,.,.,.,.,2
KY,KENTUCKY,10,2018,M102018,Missing,Missing,.,.,.,.,.
LA,LOUISIANA,10,2018,M102018,Missing,Missing,.,.,.,.,1
MA,MASSACHUSETTS,10,2018,M102018,Missing,Missing,.,.,.,.,.
MD,MARYLAND,10,2018,M102018,Missing,Missing,2,1,.,.,60
ME,MAINE,10,2018,M102018,Missing,Missing,1,.,.,.,3
MI,MICHIGAN,10,2018,M102018,Missing,Missing,3,.,.,1,166
MO,MISSOURI,10,2018,M102018,Missing,Missing,.,.,.,.,15
MT,MONTANA,10,2018,M102018,Missing,Missing,.,.,.,.,.
NC,NORTH CAROLINA,10,2018,M102018,Missing,Missing,.,.,.,.,26
NH,NEW HAMPSHIRE,10,2018,M102018,Missing,Missing,.,.,.,.,.
NJ,NEW JERSEY,10,2018,M102018,Missing,Missing,1,1,.,.,6
NM,NEW MEXICO,10,2018,M102018,Missing,Missing,.,.,.,.,2
NV,NEVADA,10,2018,M102018,Missing,Missing,.,.,.,.,5
NY,NEW YORK,10,2018,M102018,Missing,Missing,.,.,.,.,.
OH,OHIO,10,2018,M102018,Missing,Missing,2,.,.,.,18
OR,OREGON,10,2018,M102018,Missing,Missing,.,.,.,.,2
PA,PENNSYLVANIA,10,2018,M102018,Missing,Missing,.,.,.,.,18
RI,RHODE ISLAND,10,2018,M102018,Missing,Missing,.,.,.,.,1
SD,SOUTH DAKOTA,10,2018,M102018,Missing,Missing,.,.,.,.,.
TN,TENNESSEE,10,2018,M102018,Missing,Missing,.,.,.,.,3
UT,UTAH,10,2018,M102018,Missing,Missing,.,.,.,.,.
VA,VIRGINIA,10,2018,M102018,Missing,Missing,.,.,.,.,1
VT,VERMONT,10,2018,M102018,Missing,Missing,.,.,.,.,.
WA,WASHINGTON,10,2018,M102018,Missing,Missing,2,2,.,.,7
WI,WISCONSIN,10,2018,M102018,Missing,Missing,.,.,.,.,3
AK,ALASKA,11,2018,M112018,Missing,Missing,.,.,.,.,.
AL,ALABAMA,11,2018,M112018,Missing,Missing,.,.,.,.,138
AR,ARKANSAS,11,2018,M112018,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,11,2018,M112018,Missing,Missing,.,.,.,.,3
CO,COLORADO,11,2018,M112018,Missing,Missing,.,.,.,.,.
CT,CONNECTICUT,11,2018,M112018,Missing,Missing,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,11,2018,M112018,Missing,Missing,.,.,.,.,.
DE,DELAWARE,11,2018,M112018,Missing,Missing,.,.,.,.,.
FL,FLORIDA,11,2018,M112018,Missing,Missing,.,.,.,.,.
GA,GEORGIA,11,2018,M112018,Missing,Missing,.,.,.,.,3
IL,ILLINOIS,11,2018,M112018,Missing,Missing,.,.,.,.,30
IN,INDIANA,11,2018,M112018,Missing,Missing,.,.,.,.,.
KS,KANSAS,11,2018,M112018,Missing,Missing,.,.,.,.,1
KY,KENTUCKY,11,2018,M112018,Missing,Missing,.,.,.,.,.
LA,LOUISIANA,11,2018,M112018,Missing,Missing,.,.,.,.,.
MA,MASSACHUSETTS,11,2018,M112018,Missing,Missing,.,.,.,.,.
ME,MAINE,11,2018,M112018,Missing,Missing,.,.,.,.,3
MI,MICHIGAN,11,2018,M112018,Missing,Missing,2,.,.,.,128
MO,MISSOURI,11,2018,M112018,Missing,Missing,.,.,.,.,5
MT,MONTANA,11,2018,M112018,Missing,Missing,.,.,.,.,.
NC,NORTH CAROLINA,11,2018,M112018,Missing,Missing,1,.,.,.,27
NH,NEW HAMPSHIRE,11,2018,M112018,Missing,Missing,.,.,.,.,.
NJ,NEW JERSEY,11,2018,M112018,Missing,Missing,1,.,.,.,8
NM,NEW MEXICO,11,2018,M112018,Missing,Missing,.,.,.,.,1
NV,NEVADA,11,2018,M112018,Missing,Missing,.,.,.,.,2
NY,NEW YORK,11,2018,M112018,Missing,Missing,.,.,.,.,1
OH,OHIO,11,2018,M112018,Missing,Missing,3,1,.,.,21
OR,OREGON,11,2018,M112018,Missing,Missing,.,.,.,.,4
PA,PENNSYLVANIA,11,2018,M112018,Missing,Missing,.,.,.,.,17
RI,RHODE ISLAND,11,2018,M112018,Missing,Missing,.,.,.,.,.
SD,SOUTH DAKOTA,11,2018,M112018,Missing,Missing,.,.,.,.,.
TN,TENNESSEE,11,2018,M112018,Missing,Missing,.,.,.,.,4
UT,UTAH,11,2018,M112018,Missing,Missing,.,.,.,.,.
VA,VIRGINIA,11,2018,M112018,Missing,Missing,.,.,.,.,1
VT,VERMONT,11,2018,M112018,Missing,Missing,.,.,.,.,1
WA,WASHINGTON,11,2018,M112018,Missing,Missing,.,.,.,.,6
WV,WEST VIRGINIA,11,2018,M112018,Missing,Missing,.,.,.,.,.
AK,ALASKA,12,2018,M122018,Missing,Missing,.,.,.,.,.
AL,ALABAMA,12,2018,M122018,Missing,Missing,2,1,.,.,158
AR,ARKANSAS,12,2018,M122018,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,12,2018,M122018,Missing,Missing,.,.,.,.,4
CO,COLORADO,12,2018,M122018,Missing,Missing,.,.,.,.,1
CT,CONNECTICUT,12,2018,M122018,Missing,Missing,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,12,2018,M122018,Missing,Missing,.,.,.,.,.
DE,DELAWARE,12,2018,M122018,Missing,Missing,.,.,.,.,.
FL,FLORIDA,12,2018,M122018,Missing,Missing,.,.,.,.,.
GA,GEORGIA,12,2018,M122018,Missing,Missing,.,.,.,.,8
IL,ILLINOIS,12,2018,M122018,Missing,Missing,1,1,1,.,34
IN,INDIANA,12,2018,M122018,Missing,Missing,.,.,.,.,.
KS,KANSAS,12,2018,M122018,Missing,Missing,.,.,.,.,3
KY,KENTUCKY,12,2018,M122018,Missing,Missing,.,.,.,.,.
LA,LOUISIANA,12,2018,M122018,Missing,Missing,.,.,.,.,.
MA,MASSACHUSETTS,12,2018,M122018,Missing,Missing,.,.,.,.,.
ME,MAINE,12,2018,M122018,Missing,Missing,1,1,.,.,2
MI,MICHIGAN,12,2018,M122018,Missing,Missing,3,.,.,.,121
MO,MISSOURI,12,2018,M122018,Missing,Missing,1,.,.,.,17
MT,MONTANA,12,2018,M122018,Missing,Missing,.,.,.,.,.
NC,NORTH CAROLINA,12,2018,M122018,Missing,Missing,1,.,.,.,24
NH,NEW HAMPSHIRE,12,2018,M122018,Missing,Missing,.,.,.,.,.
NJ,NEW JERSEY,12,2018,M122018,Missing,Missing,.,.,.,.,10
NM,NEW MEXICO,12,2018,M122018,Missing,Missing,.,.,.,.,1
NV,NEVADA,12,2018,M122018,Missing,Missing,.,.,.,.,3
NY,NEW YORK,12,2018,M122018,Missing,Missing,1,.,.,.,24
OH,OHIO,12,2018,M122018,Missing,Missing,.,.,.,.,25
OR,OREGON,12,2018,M122018,Missing,Missing,.,.,.,.,2
PA,PENNSYLVANIA,12,2018,M122018,Missing,Missing,.,.,.,.,38
RI,RHODE ISLAND,12,2018,M122018,Missing,Missing,.,.,.,.,.
SD,SOUTH DAKOTA,12,2018,M122018,Missing,Missing,.,.,.,.,.
TN,TENNESSEE,12,2018,M122018,Missing,Missing,.,.,.,.,3
UT,UTAH,12,2018,M122018,Missing,Missing,.,.,.,.,.
VA,VIRGINIA,12,2018,M122018,Missing,Missing,.,.,.,.,.
VT,VERMONT,12,2018,M122018,Missing,Missing,.,.,.,.,.
WA,WASHINGTON,12,2018,M122018,Missing,Missing,.,.,.,.,4
WV,WEST VIRGINIA,12,2018,M122018,Missing,Missing,.,.,.,.,.
AK,ALASKA,1,2019,M12019,Missing,Missing,.,.,.,.,.
AL,ALABAMA,1,2019,M12019,Missing,Missing,.,.,.,.,136
AR,ARKANSAS,1,2019,M12019,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,1,2019,M12019,Missing,Missing,.,.,.,.,2
CO,COLORADO,1,2019,M12019,Missing,Missing,.,.,.,.,2
CT,CONNECTICUT,1,2019,M12019,Missing,Missing,.,.,.,.,2
DC,DISTRICT OF COLUMBIA,1,2019,M12019,Missing,Missing,.,.,.,.,.
DE,DELAWARE,1,2019,M12019,Missing,Missing,.,.,.,.,.
FL,FLORIDA,1,2019,M12019,Missing,Missing,.,.,.,.,.
GA,GEORGIA,1,2019,M12019,Missing,Missing,.,.,.,.,5
IL,ILLINOIS,1,2019,M12019,Missing,Missing,1,1,1,.,37
IN,INDIANA,1,2019,M12019,Missing,Missing,.,.,.,.,.
KS,KANSAS,1,2019,M12019,Missing,Missing,.,.,.,.,3
KY,KENTUCKY,1,2019,M12019,Missing,Missing,.,.,.,.,.
LA,LOUISIANA,1,2019,M12019,Missing,Missing,.,.,.,.,1
MA,MASSACHUSETTS,1,2019,M12019,Missing,Missing,.,.,.,.,1
ME,MAINE,1,2019,M12019,Missing,Missing,.,.,.,.,4
MI,MICHIGAN,1,2019,M12019,Missing,Missing,4,1,1,.,108
MO,MISSOURI,1,2019,M12019,Missing,Missing,.,.,.,.,18
MT,MONTANA,1,2019,M12019,Missing,Missing,.,.,.,.,.
NC,NORTH CAROLINA,1,2019,M12019,Missing,Missing,.,.,.,.,21
NH,NEW HAMPSHIRE,1,2019,M12019,Missing,Missing,.,.,.,.,.
NJ,NEW JERSEY,1,2019,M12019,Missing,Missing,.,.,.,.,8
NM,NEW MEXICO,1,2019,M12019,Missing,Missing,.,.,.,.,.
NV,NEVADA,1,2019,M12019,Missing,Missing,.,.,.,.,2
NY,NEW YORK,1,2019,M12019,Missing,Missing,1,.,.,.,25
OH,OHIO,1,2019,M12019,Missing,Missing,4,.,.,.,29
OR,OREGON,1,2019,M12019,Missing,Missing,.,.,.,.,4
PA,PENNSYLVANIA,1,2019,M12019,Missing,Missing,.,.,.,.,22
RI,RHODE ISLAND,1,2019,M12019,Missing,Missing,.,.,.,.,.
SD,SOUTH DAKOTA,1,2019,M12019,Missing,Missing,.,.,.,.,.
TN,TENNESSEE,1,2019,M12019,Missing,Missing,.,.,.,.,4
UT,UTAH,1,2019,M12019,Missing,Missing,.,.,.,.,.
VA,VIRGINIA,1,2019,M12019,Missing,Missing,.,.,.,.,.
VT,VERMONT,1,2019,M12019,Missing,Missing,.,.,.,.,3
WA,WASHINGTON,1,2019,M12019,Missing,Missing,.,.,.,.,4
WV,WEST VIRGINIA,1,2019,M12019,Missing,Missing,.,.,.,.,19
AK,ALASKA,2,2019,M22019,Missing,Missing,.,.,.,.,.
AL,ALABAMA,2,2019,M22019,Missing,Missing,.,.,.,.,120
AR,ARKANSAS,2,2019,M22019,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,2,2019,M22019,Missing,Missing,.,.,.,.,6
CO,COLORADO,2,2019,M22019,Missing,Missing,.,.,.,.,3
CT,CONNECTICUT,2,2019,M22019,Missing,Missing,.,.,.,.,5
DC,DISTRICT OF COLUMBIA,2,2019,M22019,Missing,Missing,.,.,.,.,.
DE,DELAWARE,2,2019,M22019,Missing,Missing,.,.,.,.,.
FL,FLORIDA,2,2019,M22019,Missing,Missing,.,.,.,.,.
GA,GEORGIA,2,2019,M22019,Missing,Missing,12,.,.,.,33
IL,ILLINOIS,2,2019,M22019,Missing,Missing,1,.,.,.,43
IN,INDIANA,2,2019,M22019,Missing,Missing,.,.,.,.,.
KS,KANSAS,2,2019,M22019,Missing,Missing,.,.,.,.,7
KY,KENTUCKY,2,2019,M22019,Missing,Missing,.,.,.,.,.
LA,LOUISIANA,2,2019,M22019,Missing,Missing,.,.,.,.,1
MA,MASSACHUSETTS,2,2019,M22019,Missing,Missing,.,.,.,.,.
MD,MARYLAND,2,2019,M22019,Missing,Missing,.,.,.,.,28
ME,MAINE,2,2019,M22019,Missing,Missing,.,.,.,.,2
MI,MICHIGAN,2,2019,M22019,Missing,Missing,3,.,.,.,103
MO,MISSOURI,2,2019,M22019,Missing,Missing,.,.,.,.,19
MT,MONTANA,2,2019,M22019,Missing,Missing,.,.,.,.,.
NC,NORTH CAROLINA,2,2019,M22019,Missing,Missing,.,.,.,.,21
NH,NEW HAMPSHIRE,2,2019,M22019,Missing,Missing,.,.,.,.,.
NJ,NEW JERSEY,2,2019,M22019,Missing,Missing,.,.,.,.,9
NM,NEW MEXICO,2,2019,M22019,Missing,Missing,.,.,.,.,1
NV,NEVADA,2,2019,M22019,Missing,Missing,.,.,.,.,.
NY,NEW YORK,2,2019,M22019,Missing,Missing,.,.,.,.,24
OH,OHIO,2,2019,M22019,Missing,Missing,1,1,1,.,15
OR,OREGON,2,2019,M22019,Missing,Missing,.,.,.,.,1
PA,PENNSYLVANIA,2,2019,M22019,Missing,Missing,.,.,.,.,25
RI,RHODE ISLAND,2,2019,M22019,Missing,Missing,.,.,.,.,1
SD,SOUTH DAKOTA,2,2019,M22019,Missing,Missing,.,.,.,.,.
TN,TENNESSEE,2,2019,M22019,Missing,Missing,.,.,.,.,1
UT,UTAH,2,2019,M22019,Missing,Missing,.,.,.,.,.
VA,VIRGINIA,2,2019,M22019,Missing,Missing,.,.,.,.,2
VT,VERMONT,2,2019,M22019,Missing,Missing,.,.,.,.,.
WA,WASHINGTON,2,2019,M22019,Missing,Missing,.,.,.,.,12
WV,WEST VIRGINIA,2,2019,M22019,Missing,Missing,.,.,.,.,.
AK,ALASKA,3,2019,M32019,Missing,Missing,.,.,.,.,1
AL,ALABAMA,3,2019,M32019,Missing,Missing,.,.,.,.,121
AR,ARKANSAS,3,2019,M32019,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,3,2019,M32019,Missing,Missing,.,.,.,.,2
CO,COLORADO,3,2019,M32019,Missing,Missing,.,.,.,.,1
CT,CONNECTICUT,3,2019,M32019,Missing,Missing,.,.,.,.,6
DC,DISTRICT OF COLUMBIA,3,2019,M32019,Missing,Missing,.,.,.,.,.
DE,DELAWARE,3,2019,M32019,Missing,Missing,.,.,.,.,.
FL,FLORIDA,3,2019,M32019,Missing,Missing,.,.,.,.,.
GA,GEORGIA,3,2019,M32019,Missing,Missing,.,.,.,.,7
IL,ILLINOIS,3,2019,M32019,Missing,Missing,.,.,.,.,35
IN,INDIANA,3,2019,M32019,Missing,Missing,.,.,.,.,.
KS,KANSAS,3,2019,M32019,Missing,Missing,.,.,.,.,.
KY,KENTUCKY,3,2019,M32019,Missing,Missing,.,.,.,.,1
LA,LOUISIANA,3,2019,M32019,Missing,Missing,.,.,.,.,.
MA,MASSACHUSETTS,3,2019,M32019,Missing,Missing,.,.,.,.,.
MD,MARYLAND,3,2019,M32019,Missing,Missing,2,.,.,.,47
ME,MAINE,3,2019,M32019,Missing,Missing,.,.,.,.,1
MI,MICHIGAN,3,2019,M32019,Missing,Missing,2,2,.,.,111
MO,MISSOURI,3,2019,M32019,Missing,Missing,.,.,.,.,7
MT,MONTANA,3,2019,M32019,Missing,Missing,.,.,.,.,.
NC,NORTH CAROLINA,3,2019,M32019,Missing,Missing,1,1,.,.,25
NH,NEW HAMPSHIRE,3,2019,M32019,Missing,Missing,.,.,.,.,.
NJ,NEW JERSEY,3,2019,M32019,Missing,Missing,.,.,.,.,19
NM,NEW MEXICO,3,2019,M32019,Missing,Missing,.,.,.,.,4
NV,NEVADA,3,2019,M32019,Missing,Missing,.,.,.,.,6
NY,NEW YORK,3,2019,M32019,Missing,Missing,.,.,.,.,31
OH,OHIO,3,2019,M32019,Missing,Missing,1,.,.,.,11
OR,OREGON,3,2019,M32019,Missing,Missing,.,.,.,.,1
PA,PENNSYLVANIA,3,2019,M32019,Missing,Missing,2,1,.,.,25
RI,RHODE ISLAND,3,2019,M32019,Missing,Missing,.,.,.,.,.
SD,SOUTH DAKOTA,3,2019,M32019,Missing,Missing,.,.,.,.,.
TN,TENNESSEE,3,2019,M32019,Missing,Missing,.,.,.,.,7
UT,UTAH,3,2019,M32019,Missing,Missing,.,.,.,.,.
VA,VIRGINIA,3,2019,M32019,Missing,Missing,.,.,.,.,.
VT,VERMONT,3,2019,M32019,Missing,Missing,.,.,.,.,1
WA,WASHINGTON,3,2019,M32019,Missing,Missing,.,.,.,.,7
WV,WEST VIRGINIA,3,2019,M32019,Missing,Missing,.,.,.,.,.
AK,ALASKA,4,2019,M42019,Missing,Missing,.,.,.,.,.
AL,ALABAMA,4,2019,M42019,Missing,Missing,.,.,.,.,49
AR,ARKANSAS,4,2019,M42019,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,4,2019,M42019,Missing,Missing,.,.,.,.,3
CO,COLORADO,4,2019,M42019,Missing,Missing,.,.,.,.,.
CT,CONNECTICUT,4,2019,M42019,Missing,Missing,.,.,.,.,4
DC,DISTRICT OF COLUMBIA,4,2019,M42019,Missing,Missing,.,.,.,.,.
DE,DELAWARE,4,2019,M42019,Missing,Missing,.,.,.,.,.
FL,FLORIDA,4,2019,M42019,Missing,Missing,.,.,.,.,.
GA,GEORGIA,4,2019,M42019,Missing,Missing,1,.,.,.,17
IL,ILLINOIS,4,2019,M42019,Missing,Missing,1,1,1,.,42
IN,INDIANA,4,2019,M42019,Missing,Missing,.,.,.,.,.
KS,KANSAS,4,2019,M42019,Missing,Missing,.,.,.,.,3
KY,KENTUCKY,4,2019,M42019,Missing,Missing,.,.,.,.,.
LA,LOUISIANA,4,2019,M42019,Missing,Missing,.,.,.,.,3
MA,MASSACHUSETTS,4,2019,M42019,Missing,Missing,.,.,.,.,2
MD,MARYLAND,4,2019,M42019,Missing,Missing,5,.,.,.,36
ME,MAINE,4,2019,M42019,Missing,Missing,.,.,.,.,6
MI,MICHIGAN,4,2019,M42019,Missing,Missing,6,1,.,.,104
MO,MISSOURI,4,2019,M42019,Missing,Missing,.,.,.,.,12
MT,MONTANA,4,2019,M42019,Missing,Missing,.,.,.,.,.
NC,NORTH CAROLINA,4,2019,M42019,Missing,Missing,1,.,.,.,30
NH,NEW HAMPSHIRE,4,2019,M42019,Missing,Missing,.,.,.,.,4
NJ,NEW JERSEY,4,2019,M42019,Missing,Missing,.,.,.,.,12
NM,NEW MEXICO,4,2019,M42019,Missing,Missing,.,.,.,.,2
NV,NEVADA,4,2019,M42019,Missing,Missing,1,.,.,.,3
NY,NEW YORK,4,2019,M42019,Missing,Missing,2,.,.,.,29
OH,OHIO,4,2019,M42019,Missing,Missing,.,.,.,.,18
OR,OREGON,4,2019,M42019,Missing,Missing,.,.,.,.,2
PA,PENNSYLVANIA,4,2019,M42019,Missing,Missing,.,.,.,.,33
RI,RHODE ISLAND,4,2019,M42019,Missing,Missing,.,.,.,.,.
SD,SOUTH DAKOTA,4,2019,M42019,Missing,Missing,.,.,.,.,.
TN,TENNESSEE,4,2019,M42019,Missing,Missing,.,.,.,.,.
UT,UTAH,4,2019,M42019,Missing,Missing,.,.,.,.,.
VA,VIRGINIA,4,2019,M42019,Missing,Missing,.,.,.,.,4
VT,VERMONT,4,2019,M42019,Missing,Missing,.,.,.,.,2
WA,WASHINGTON,4,2019,M42019,Missing,Missing,.,.,.,.,7
WI,WISCONSIN,4,2019,M42019,Missing,Missing,.,.,.,.,6
WV,WEST VIRGINIA,4,2019,M42019,Missing,Missing,.,.,.,.,5
AK,ALASKA,5,2019,M52019,Missing,Missing,.,.,.,.,.
AL,ALABAMA,5,2019,M52019,Missing,Missing,1,.,.,.,70
AR,ARKANSAS,5,2019,M52019,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,5,2019,M52019,Missing,Missing,.,.,.,.,4
CO,COLORADO,5,2019,M52019,Missing,Missing,.,.,.,.,1
CT,CONNECTICUT,5,2019,M52019,Missing,Missing,.,.,.,.,3
DC,DISTRICT OF COLUMBIA,5,2019,M52019,Missing,Missing,.,.,.,.,.
DE,DELAWARE,5,2019,M52019,Missing,Missing,.,.,.,.,.
FL,FLORIDA,5,2019,M52019,Missing,Missing,.,.,.,.,.
GA,GEORGIA,5,2019,M52019,Missing,Missing,.,.,.,.,9
IL,ILLINOIS,5,2019,M52019,Missing,Missing,.,.,.,.,55
IN,INDIANA,5,2019,M52019,Missing,Missing,.,.,.,.,.
KS,KANSAS,5,2019,M52019,Missing,Missing,.,.,.,.,.
KY,KENTUCKY,5,2019,M52019,Missing,Missing,.,.,.,.,.
